RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18
4083,Chestnut Ridge,Ramapo,NY,New York-Newark-Jersey City,Rockland,1717,2161,2151,2180,2176,2171,2135,2121,2111,2159,2195,2222,2245,2283,2338,2347,2339,2322,2322,2324,2326,2344,2384,2428,2456,2469,2474,2463,2448,2442,2451,2456,2453,2454,2466,2477,2476,2443,2416,2383,2388,2394,2411,2399,2351,2293,2283,2315,2396,2477,2557,2596,2598,2583,2562,2564,2608,2672,2730,2754,2761,2759,2758,2780,2777,2785,2779,2801,2825,2852,2883,2908,2923,2921,2905,2881,2876,2887,2926,2977,3032,3070,3087,3080,3063,3035,3011,2999,3001,3006,3005,3001,2999,2999,2999
4257,Crompond,Yorktown,NY,New York-Newark-Jersey City,Westchester,5280,2505,2539,2573,2598,2596,2595,2598,2602,2619,2643,2675,2675,2659,2623,2596,2574,2552,2534,2516,2517,2539,2581,2610,2624,2605,2577,2534,2508,2496,2516,2537,2596,2674,2753,2794,2753,2663,2563,2504,2480,2467,2460,2470,2485,2496,2514,2536,2549,2554,2552,2549,2537,2504,2498,2510,2591,2687,2796,2853,2881,2894,2911,2948,2982,3003,3019,3010,3018,3007,3019,3028,3039,3025,3010,2987,2974,2950,2921,2890,2871,2888,2941,3003,3053,3082,3100,3115,3134,3163,3189,3210,3225,3235,3242
4819,Fresh Meadows,New York,NY,New York-Newark-Jersey City,Queens,480,1714,1732,1755,1805,1841,1869,1883,1888,1876,1850,1821,1798,1773,1766,1773,1797,1816,1826,1839,1850,1863,1863,1871,1869,1886,1914,1943,1961,1988,1995,1981,1946,1929,1942,1972,2018,2071,2118,2159,2167,2155,2132,2122,2114,2125,2160,2211,2254,2266,2275,2264,2266,2268,2278,2300,2311,2338,2365,2401,2430,2440,2437,2425,2410,2409,2412,2422,2431,2454,2480,2519,2557,2586,2601,2605,2607,2603,2600,2602,2606,2620,2633,2647,2654,2658,2654,2634,2601,2570,2550,2540,2535,2529,2521
5837,Maspeth,New York,NY,New York-Newark-Jersey City,Queens,166,1708,1708,1697,1679,1666,1663,1660,1659,1655,1648,1647,1656,1673,1692,1711,1721,1741,1757,1774,1776,1768,1755,1742,1741,1755,1769,1782,1787,1802,1803,1803,1807,1816,1832,1852,1869,1885,1908,1931,1954,1954,1975,1999,2022,2060,2110,2203,2264,2290,2276,2272,2278,2276,2244,2218,2186,2183,2212,2258,2299,2321,2341,2338,2320,2312,2323,2338,2334,2322,2302,2287,2279,2276,2268,2258,2250,2245,2245,2247,2250,2262,2280,2295,2289,2265,2232,2209,2198,2200,2206,2208,2208,2207,2208
6158,New Hempstead,Ramapo,NY,New York-Newark-Jersey City,Rockland,2389,1916,1883,1925,1955,2022,2029,2039,2042,2107,2183,2254,2300,2351,2409,2443,2454,2460,2456,2449,2433,2435,2450,2472,2481,2480,2479,2467,2454,2448,2447,2456,2462,2485,2512,2532,2531,2502,2471,2450,2456,2473,2487,2496,2497,2498,2501,2505,2531,2576,2626,2655,2663,2664,2658,2657,2681,2721,2759,2770,2769,2762,2769,2795,2816,2838,2845,2855,2857,2868,2889,2913,2928,2935,2922,2905,2890,2889,2893,2919,2963,3010,3037,3047,3047,3038,3020,3002,2994,2994,2991,2985,2978,2973,2969
6263,Nyack,Orangetown,NY,New York-Newark-Jersey City,Rockland,2191,2400,2400,2357,2290,2200,2166,2175,2213,2229,2199,2147,2093,2069,2056,2045,2035,2038,2063,2081,2086,2091,2095,2117,2125,2145,2142,2127,2099,2093,2128,2192,2233,2243,2229,2225,2226,2223,2220,2206,2185,2155,2127,2102,2085,2094,2101,2131,2162,2201,2230,2226,2231,2228,2240,2257,2280,2324,2365,2408,2432,2444,2456,2461,2465,2465,2470,2478,2499,2523,2557,2583,2607,2621,2615,2593,2555,2522,2494,2480,2481,2490,2492,2496,2504,2508,2501,2487,2487,2489,2495,2498,2509,2514,2515
6498,Piermont,Orangetown,NY,New York-Newark-Jersey City,Rockland,4632,2500,2494,2472,2438,2404,2390,2395,2409,2423,2422,2423,2418,2411,2401,2391,2391,2390,2406,2419,2439,2447,2462,2474,2508,2528,2534,2513,2485,2466,2482,2532,2587,2595,2584,2576,2576,2563,2526,2496,2477,2467,2454,2438,2419,2409,2407,2426,2446,2467,2480,2481,2494,2511,2542,2577,2614,2677,2731,2778,2784,2752,2705,2688,2713,2769,2809,2848,2877,2911,2938,2949,2948,2957,2961,2919,2835,2754,2724,2741,2779,2815,2819,2812,2800,2795,2801,2812,2841,2869,2898,2919,2933,2938,2927
6687,Ravena,Coeymans,NY,Albany-Schenectady-Troy,Albany,4016,1506,1506,1498,1459,1385,1336,1334,1370,1371,1366,1342,1320,1282,1256,1240,1249,1280,1321,1354,1372,1374,1378,1371,1364,1342,1330,1325,1320,1313,1303,1301,1305,1310,1315,1313,1312,1311,1306,1294,1288,1282,1287,1262,1239,1211,1214,1232,1253,1273,1288,1322,1364,1408,1433,1447,1453,1478,1496,1509,1499,1487,1477,1461,1447,1435,1437,1454,1477,1494,1501,1514,1524,1527,1515,1504,1501,1504,1506,1510,1517,1526,1544,1573,1601,1605,1598,1589,1589,1582,1574,1565,1557,1549,1538
6719,Rego Park,New York,NY,New York-Newark-Jersey City,Queens,226,1700,1697,1693,1685,1672,1658,1652,1648,1648,1643,1644,1648,1650,1653,1660,1678,1707,1729,1748,1758,1764,1748,1729,1710,1713,1727,1753,1773,1786,1790,1800,1814,1825,1834,1838,1851,1878,1928,1973,1999,2002,2001,2001,1999,2019,2040,2079,2087,2084,2079,2100,2132,2152,2144,2134,2115,2101,2115,2146,2194,2226,2248,2253,2254,2259,2265,2258,2239,2211,2177,2145,2128,2122,2126,2139,2151,2164,2167,2166,2156,2143,2129,2118,2109,2104,2101,2107,2120,2136,2144,2149,2156,2162,2166
7536,University Gardens,Great Neck,NY,New York-Newark-Jersey City,Nassau,3270,2637,2692,2695,2680,2621,2634,2649,2677,2720,2802,2892,2933,2949,2924,2876,2843,2846,2840,2821,2813,2869,2922,2912,2825,2736,2678,2692,2729,2785,2828,2858,2885,2922,2930,2931,2861,2793,2717,2672,2643,2642,2678,2732,2798,2885,2974,3056,3078,3066,3028,2998,2978,2966,2991,3058,3177,3306,3419,3480,3496,3487,3460,3423,3391,3379,3439,3517,3612,3675,3725,3744,3732,3700,3677,3674,3690,3697,3691,3672,3659,3645,3642,3647,3658,3669,3663,3649,3642,3654,3678,3698,3712,3717,3724
